  id                                                                                                                                  Topic terms
   0                   health, pandemic, study, care, case, disease, infection, risk, report, covid, measure, increase, model, number, conclusion
  72                       pandemic, disease, infection, case, study, health, report, covid, treatment, virus, cause, care, increase, model, risk
  73                    pandemic, disease, health, infection, case, study, report, covid, virus, care, treatment, risk, system, base, coronavirus
  74                        pandemic, disease, infection, study, case, health, report, covid, virus, treatment, cause, increase, risk, base, care
  75                        disease, pandemic, infection, case, study, health, report, covid, treatment, care, virus, cause, increase, risk, base
  76                 pandemic, infection, disease, case, study, health, report, treatment, covid, virus, risk, increase, care, cause, coronavirus
  77                 pandemic, disease, infection, case, study, health, report, covid, care, treatment, virus, risk, increase, cause, coronavirus
  78                       pandemic, disease, infection, case, study, health, report, covid, treatment, care, virus, system, risk, base, increase
  79                       pandemic, disease, infection, case, study, health, report, covid, treatment, virus, care, base, model, increase, cause
  80                      pandemic, disease, case, infection, study, health, report, covid, treatment, virus, increase, cause, care, base, system
  81                        pandemic, disease, infection, case, health, study, report, treatment, covid, virus, care, risk, cause, base, increase
  82                pandemic, disease, infection, case, study, health, report, treatment, covid, virus, increase, care, cause, coronavirus, model
  83                       pandemic, disease, infection, study, case, health, treatment, report, covid, virus, care, increase, model, cause, risk
  84                 pandemic, disease, case, infection, study, health, report, covid, care, treatment, virus, cause, increase, risk, coronavirus
  85                   pandemic, disease, infection, case, health, study, report, covid, virus, risk, care, treatment, system, cause, coronavirus
  86                        pandemic, disease, study, infection, case, health, report, covid, care, treatment, virus, increase, cause, risk, base
  87                 pandemic, infection, disease, case, study, health, report, covid, virus, treatment, care, increase, cause, risk, coronavirus
  88                      pandemic, disease, health, case, infection, study, report, care, covid, treatment, virus, increase, cause, risk, system
  89                        pandemic, disease, case, infection, study, health, report, care, covid, virus, treatment, increase, cause, risk, base
  90                      pandemic, disease, case, infection, study, health, report, covid, virus, treatment, increase, care, cause, risk, system
  91                 pandemic, disease, case, infection, health, study, report, care, covid, treatment, virus, base, coronavirus, increase, cause
  92                 pandemic, disease, health, case, infection, study, report, covid, virus, care, treatment, coronavirus, cause, risk, increase
  93                           pandemic, disease, infection, study, case, health, report, covid, care, rod, virus, treatment, system, cause, risk
  94                 pandemic, disease, infection, case, health, study, report, virus, covid, treatment, risk, care, cause, increase, coronavirus
  95                 pandemic, disease, infection, case, study, health, report, covid, virus, treatment, cause, care, increase, risk, coronavirus
  96                   pandemic, disease, infection, case, health, study, report, covid, treatment, virus, care, system, cause, risk, coronavirus
  97              pandemic, disease, infection, case, study, health, report, covid, treatment, virus, article, care, increase, cause, coronavirus
  98                  pandemic, disease, case, infection, health, study, report, care, covid, model, system, virus, treatment, coronavirus, cause
  99                     pandemic, disease, infection, case, study, health, covid, report, treatment, virus, base, care, coronavirus, cause, risk
 100                 pandemic, disease, infection, case, study, health, report, virus, covid, treatment, risk, care, cause, coronavirus, increase
 101               pandemic, disease, health, case, infection, study, report, covid, virus, coronavirus, treatment, care, cause, increase, system
 102                pandemic, disease, case, infection, health, study, report, covid, treatment, care, cause, virus, article, system, coronavirus
 103                 pandemic, disease, case, infection, health, study, report, covid, care, increase, treatment, virus, cause, risk, coronavirus
 104                   pandemic, disease, infection, case, study, health, report, covid, care, coronavirus, virus, treatment, cause, risk, review
 105                           die, pandemic, disease, case, infection, health, study, treatment, report, covid, der, und, care, increase, spread
 106             pandemic, disease, study, infection, case, health, report, covid, virus, treatment, cause, coronavirus, care, increase, outbreak
 107                     pandemic, disease, infection, case, health, study, report, pollen, covid, care, virus, treatment, cause, model, increase
 108                   pandemic, disease, case, infection, health, study, report, covid, associate, risk, care, virus, treatment, cause, increase
 109                      pandemic, disease, case, infection, study, health, care, report, risk, covid, increase, article, treatment, virus, cell
 110                   pandemic, disease, infection, case, study, health, report, covid, care, virus, treatment, cause, risk, coronavirus, spread
 111                 pandemic, disease, infection, case, health, study, report, virus, covid, coronavirus, cause, care, increase, treatment, base
 112                    pandemic, disease, infection, case, study, report, health, covid, grind, treatment, virus, paper, base, care, coronavirus
 113                 pandemic, disease, infection, case, health, study, treatment, report, covid, virus, care, coronavirus, cause, research, risk
 114                   pandemic, disease, case, health, infection, study, report, covid, treatment, care, virus, system, risk, cause, coronavirus
 115                          pandemic, disease, infection, case, study, report, health, virus, covid, treatment, base, care, risk, cause, system
 116             pandemic, disease, infection, case, study, health, report, treatment, virus, covid, care, cause, coronavirus, syndrome, increase
 117             pandemic, disease, case, infection, study, report, covid, health, treatment, virus, cause, care, increase, response, coronavirus
 118                 pandemic, disease, infection, study, case, health, covid, report, care, risk, treatment, virus, increase, cause, coronavirus
 119                  pandemic, disease, infection, health, case, treatment, study, report, care, approach, covid, virus, risk, increase, article
 120                 pandemic, case, disease, infection, health, study, report, covid, virus, increase, treatment, care, cause, coronavirus, risk
 121                   pandemic, disease, infection, case, virus, health, report, covid, study, system, paper, treatment, care, risk, coronavirus
 122                 pandemic, case, disease, infection, health, study, report, covid, care, virus, treatment, cause, coronavirus, increase, risk
 123                 pandemic, disease, infection, case, study, health, report, covid, virus, risk, care, cause, increase, treatment, coronavirus
 124                  pandemic, infection, disease, case, study, health, report, virus, covid, treatment, article, cause, care, risk, coronavirus
 125                 pandemic, disease, infection, case, study, health, virus, report, covid, treatment, increase, care, cause, risk, coronavirus
 126                 pandemic, disease, infection, study, case, health, report, covid, virus, care, treatment, increase, cause, coronavirus, risk
 127               pandemic, infection, disease, case, study, health, report, covid, treatment, virus, cause, care, coronavirus, syndrome, impact
 128                 pandemic, disease, infection, case, study, health, report, cause, covid, treatment, virus, model, care, coronavirus, article
 129              pandemic, disease, case, infection, report, study, health, covid, coronavirus, treatment, care, virus, cause, increase, develop
 130              pandemic, case, disease, infection, health, study, report, covid, increase, virus, coronavirus, care, cause, treatment, article
 131               pandemic, disease, case, infection, health, covid, report, study, care, risk, virus, treatment, coronavirus, article, increase
 132                     pandemic, disease, health, case, infection, study, report, covid, care, model, thrive, increase, treatment, virus, cause
 133                     pandemic, disease, case, infection, study, health, covid, report, system, treatment, virus, placement, cause, care, risk
 134             pandemic, virus, disease, infection, case, health, study, report, identify, treatment, covid, cell, richness, coronavirus, cause
 135                  pandemic, disease, infection, case, health, covid, study, report, coronavirus, develop, risk, cause, virus, care, treatment
 136                 pandemic, disease, case, infection, health, study, report, covid, treatment, care, virus, article, coronavirus, cause, paper
 137       pandemic, infection, disease, report, health, case, article, study, covid, care, protomer, coronavirus, transmission, virus, treatment
 138                  pandemic, disease, infection, case, report, health, study, treatment, covid, virus, article, care, coronavirus, cause, risk
 139                      pandemic, case, disease, infection, cause, solution, report, study, health, virus, care, covid, risk, foreigner, impact
 140                   pandemic, disease, health, case, infection, report, study, covid, virus, coronavirus, article, care, decoction, risk, fill
 141              pandemic, disease, case, infection, health, report, study, treatment, covid, describe, virus, article, increase, cause, chronic
 142                      pandemic, infection, disease, case, article, study, report, health, covid, virus, npi, paper, cause, treatment, discuss
 143                pandemic, disease, infection, case, study, health, report, die, startup, intuition, virus, covid, leakage, article, treatment
 144          pandemic, disease, health, infection, case, study, article, report, disinfect, covid, treatment, virus, describe, base, coronavirus
 145           pandemic, infection, report, disease, case, study, health, virus, covid, care, cause, coronavirus, syndrome, detection, management
 146        pandemic, disease, infection, case, covid, parametre, report, health, operating, article, study, gallate, prednisone, response, virus
 147  pandemic, disease, crosstalk, case, covid, report, infection, success_rate, health, severe, study, fraternity, care, hospitalize, inversion
 148   pandemic, disease, case, infection, base, report, health, study, eleve, sarcoidosis, treatment, coronavirus, covid, environment, establish
 149    pandemic, case, disease, infection, report, propose, merchant, coronaviruse, study, covid, cofactor, virus, primer, genitourinary, region
